"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"DCH","30",2020-07-21,"Propios",NA,"541","603","0","0","109","0","0","0","17","0","0",NA,0
"DCH","30",2020-07-21,"Contratistas",NA,"121","162","3","0","0","0","28","3","73","2","0",NA,3
"DCH","30",2020-07-22,"Propios",NA,"549","609","5","3","87","10","0","0","58","5","1",NA,8
"DCH","30",2020-07-22,"Contratistas",NA,"137","165","3","0","13","3","31","1","102","3","0",NA,3
"DCH","30",2020-07-23,"Propios",NA,"555","612","1","2","74","3","0","0","83","4","0",NA,3
"DCH","30",2020-07-23,"Contratistas",NA,"137","167","1","1","2","0","30","0","16","0","0",NA,2
"DCH","30",2020-07-24,"Propios",NA,"563","617","0","5","172","5","0","0","16","0","0",NA,5
"DCH","30",2020-07-24,"Contratistas",NA,"137","168","0","1","1","0","0","0","70","4","0",NA,1
"DCH","30",2020-07-25,"Propios",NA,"567","619","0","2","114","2","0","0","170","24","0",NA,2
"DCH","30",2020-07-25,"Contratistas",NA,"142","169","0","1","3","0","0","0","0","0","0",NA,1
"DCH","30",2020-07-26,"Propios",NA,"569","623","0","4","196","4","0","0","161","11","0",NA,4
"DCH","30",2020-07-26,"Contratistas",NA,"143","172","1","3","2","0","0","0","3","1","0",NA,4
"DET","30",2020-07-20,"Propios","1309","67","107","0","0","1","0","0","0","365","4","1","13",0
"DET","30",2020-07-20,"Contratistas","2520","53","87","7","1",NA,"8","67","27","109","1","0","0",8
"DET","30",2020-07-21,"Propios","1376","65","104","3","2","5","5","0","0","171","3","0","0",5
"DET","30",2020-07-21,"Contratistas","2906","59","83","5","2",NA,"7","75","5","225","0","5","0",7
"DET","30",2020-07-22,"Propios","1370","66","116","3","2","5","5","0","0","134","2","0","0",5
"DET","30",2020-07-22,"Contratistas","4874","65","90","3","7",NA,"10","0","0","179","8","0","0",10
"DET","30",2020-07-23,"Propios","1383","63","106","0","0","4","0","0","0","110","1","0","0",0
"DET","30",2020-07-23,"Contratistas","5044","64","87","0","2",NA,"2","0","0","94","2","0","0",2
"DET","30",2020-07-24,"Propios","1370","56","96","1","0","3","1","0","0","277","3","2","0",1
"DET","30",2020-07-24,"Contratistas","5034","67","89","0","6",NA,"6","0","0","12","2","2","0",6
"DET","30",2020-07-25,"Propios","956","52","92","0","0","5","0","0","0","175","0","0","0",0
"DET","30",2020-07-25,"Contratistas","4893","64","85","1","1",NA,"2","0","0","86","0","0",NA,2
"DET","30",2020-07-26,"Propios","877","51","91","0","1","1","1","0","0","324","1","0","0",1
"DET","30",2020-07-26,"Contratistas","4764","60","80","1","1",NA,"2","0","0","74","2","1",NA,2
"DGM","30",2020-07-20,"Propios","150","3","5","0","0","1","0","48","6","1","0","0","0",0
"DGM","30",2020-07-20,"Contratistas","1192","19","108","5","0","7","5","14","2","49","0","0","0",5
"DGM","30",2020-07-21,"Propios","148","4","6","1","1","0","1","63","6","0","0","0","0",2
"DGM","30",2020-07-21,"Contratistas","1219","17","105","1","1","7","3","19","3","53","0","0","0",2
"DGM","30",2020-07-22,"Propios","154","3","5","0","0","0","0","94","9","0","0","0","0",0
"DGM","30",2020-07-22,"Contratistas","1197","11","93","0","0","17","0","33","1","79","0","0","0",0
"DGM","30",2020-07-23,"Propios","140","3","5","0","0","3","0","31","4","0","0","0","0",0
"DGM","30",2020-07-23,"Contratistas","1091","10","85","1","2","5","3","1","0","64","0","0","0",3
"DGM","30",2020-07-24,"Propios","124","2","5","0","0","0","0","3","0","0","0","0","0",0
"DGM","30",2020-07-24,"Contratistas","903","12","85","1","2","1","3","45","4","83","0","0","0",3
"DGM","30",2020-07-25,"Propios","119","2","5","0","0","0","0","0","0","0","0","0","0",0
"DGM","30",2020-07-25,"Contratistas","909","11","82","0","0","2","0","52","6","75","0","0","0",0
"DGM","30",2020-07-26,"Propios","123","2","5","0","0","0","0","1","0","0","0","0","0",0
"DGM","30",2020-07-26,"Contratistas","899","9","82","0","0","1","0","48","4","59","0","0","0",0
"DMH","30",2020-07-20,"Propios","668","2","18","0","0","0","0","37","5","55","0","0","0",0
"DMH","30",2020-07-20,"Contratistas","2520","24","102","2","0","0","0","10","4","86","0","0","0",2
"DMH","30",2020-07-21,"Propios","668","2","18","1","0","0","0","1","1","4","0","0","0",1
"DMH","30",2020-07-21,"Contratistas","2520","23","99","1","0","0","0","17","15","94","94","0","0",1
"DMH","30",2020-07-22,"Propios","668","2","18","0","0","0","0","0","0","4","0","0","0",0
"DMH","30",2020-07-22,"Contratistas","2520","22","101","2","0","1","0","15","11","31","1","0","0",2
"DMH","30",2020-07-23,"Propios","668","2","12","0","0","0","0","10","0","0","0","0","0",0
"DMH","30",2020-07-23,"Contratistas","2520","22","85","2","0","1","0","12","6","45","1","0","0",2
"DMH","30",2020-07-24,"Propios","668","2","12","0","0","1","0","64","11","12","0","0","0",0
"DMH","30",2020-07-24,"Contratistas","2520","20","84","1","0","9","1","24","14","240","9","1","0",1
"DMH","30",2020-07-25,"Propios","668","2","8","0","0","0","0","34","4","70","0","0","0",0
"DMH","30",2020-07-25,"Contratistas","2520","17","83","0","0","4","1","12","10","159","4","1","0",0
"DMH","30",2020-07-26,"Propios","668","2","8","0","0","1","1","32","7","52","1","0","0",0
"DMH","30",2020-07-26,"Contratistas","2520","17","82","1","0","0","0","10","6","121","0","0","0",1
"DRT","30",2020-07-20,"Propios","1218","8","34","0","1","1","1","9","3","0","0","0","0",1
"DRT","30",2020-07-20,"Contratistas","4710","13","44","7","0","19","2","0","0","0","0","0","0",7
"DRT","30",2020-07-21,"Propios","1218","8","35","1","0","5","1","18","1","0","0","0","0",1
"DRT","30",2020-07-21,"Contratistas","4710","14","40","4","1","12","5","0","0","0","0","0","0",5
"DRT","30",2020-07-22,"Propios","1218","11","33","2","1","3","3","26","2","0","0","0","0",3
"DRT","30",2020-07-22,"Contratistas","4710","13","39","3","1","10","4","5","0","0","0","0","0",4
"DRT","30",2020-07-23,"Propios","1218","8","28","0","0","3","3","24","2","0","0","0","0",0
"DRT","30",2020-07-23,"Contratistas","4710","16","37","3","2","5","5","2","0","0","0","0","0",5
