"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos","sem_epidem","casos_nuevos_division_x10000","porc_casos_acum_codelco_division"
"DCH","30",2020-07-20,"Contratistas",5178,"104","160","3","2","8","1","34","2","66","0","0",NA,5,"30",9.66,3.09
"DCH","30",2020-07-21,"Propios",4899,"541","603","0","0","109","0","0","0","17","0","0",NA,0,"30",0,12.31
"DCH","30",2020-07-21,"Contratistas",5178,"121","162","3","0","0","0","28","3","73","2","0",NA,3,"30",5.79,3.13
"DCH","30",2020-07-22,"Propios",4899,"549","609","5","3","87","10","0","0","58","5","1",NA,8,"30",16.33,12.43
"DCH","30",2020-07-22,"Contratistas",5178,"137","165","3","0","13","3","31","1","102","3","0",NA,3,"30",5.79,3.19
"DCH","30",2020-07-23,"Propios",4899,"555","612","1","2","74","3","0","0","83","4","0",NA,3,"30",6.12,12.49
"DCH","30",2020-07-23,"Contratistas",5178,"137","167","1","1","2","0","30","0","16","0","0",NA,2,"30",3.86,3.23
"DCH","30",2020-07-24,"Propios",4899,"563","617","0","5","172","5","0","0","16","0","0",NA,5,"30",10.21,12.59
"DCH","30",2020-07-24,"Contratistas",5178,"137","168","0","1","1","0","0","0","70","4","0",NA,1,"30",1.93,3.24
"DCH","30",2020-07-25,"Propios",4899,"567","619","0","2","114","2","0","0","170","24","0",NA,2,"30",4.08,12.64
"DCH","30",2020-07-25,"Contratistas",5178,"142","169","0","1","3","0","0","0","0","0","0",NA,1,"30",1.93,3.26
"DCH","30",2020-07-26,"Propios",4899,"569","623","0","4","196","4","0","0","161","11","0",NA,4,"31",8.16,12.72
"DCH","30",2020-07-26,"Contratistas",5178,"143","172","1","3","2","0","0","0","3","1","0",NA,4,"31",7.72,3.32
"DET","30",2020-07-20,"Propios",1309,"67","107","0","0","1","0","0","0","365","4","1","13",0,"30",0,8.17
"DET","30",2020-07-20,"Contratistas",2520,"53","87","7","1",NA,"8","67","27","109","1","0","0",8,"30",31.75,3.45
"DET","30",2020-07-21,"Propios",1376,"65","104","3","2","5","5","0","0","171","3","0","0",5,"30",36.34,7.56
"DET","30",2020-07-21,"Contratistas",2906,"59","83","5","2",NA,"7","75","5","225","0","5","0",7,"30",24.09,2.86
"DET","30",2020-07-22,"Propios",1370,"66","116","3","2","5","5","0","0","134","2","0","0",5,"30",36.5,8.47
"DET","30",2020-07-22,"Contratistas",4874,"65","90","3","7",NA,"10","0","0","179","8","0","0",10,"30",20.52,1.85
"DET","30",2020-07-23,"Propios",1383,"63","106","0","0","4","0","0","0","110","1","0","0",0,"30",0,7.66
"DET","30",2020-07-23,"Contratistas",5044,"64","87","0","2",NA,"2","0","0","94","2","0","0",2,"30",3.97,1.72
"DET","30",2020-07-24,"Propios",1370,"56","96","1","0","3","1","0","0","277","3","2","0",1,"30",7.3,7.01
"DET","30",2020-07-24,"Contratistas",5034,"67","89","0","6",NA,"6","0","0","12","2","2","0",6,"30",11.92,1.77
"DET","30",2020-07-25,"Propios",956,"52","92","0","0","5","0","0","0","175","0","0","0",0,"30",0,9.62
"DET","30",2020-07-25,"Contratistas",4893,"64","85","1","1",NA,"2","0","0","86","0","0",NA,2,"30",4.09,1.74
"DET","30",2020-07-26,"Propios",877,"51","91","0","1","1","1","0","0","324","1","0","0",1,"31",11.4,10.38
"DET","30",2020-07-26,"Contratistas",4764,"60","80","1","1",NA,"2","0","0","74","2","1",NA,2,"31",4.2,1.68
"DGM","30",2020-07-20,"Propios",150,"3","5","0","0","1","0","48","6","1","0","0","0",0,"30",0,3.33
"DGM","30",2020-07-20,"Contratistas",1192,"19","108","5","0","7","5","14","2","49","0","0","0",5,"30",41.95,9.06
"DGM","30",2020-07-21,"Propios",148,"4","6","1","1","0","1","63","6","0","0","0","0",2,"30",135.14,4.05
"DGM","30",2020-07-21,"Contratistas",1219,"17","105","1","1","7","3","19","3","53","0","0","0",2,"30",16.41,8.61
"DGM","30",2020-07-22,"Propios",154,"3","5","0","0","0","0","94","9","0","0","0","0",0,"30",0,3.25
"DGM","30",2020-07-22,"Contratistas",1197,"11","93","0","0","17","0","33","1","79","0","0","0",0,"30",0,7.77
"DGM","30",2020-07-23,"Propios",140,"3","5","0","0","3","0","31","4","0","0","0","0",0,"30",0,3.57
"DGM","30",2020-07-23,"Contratistas",1091,"10","85","1","2","5","3","1","0","64","0","0","0",3,"30",27.5,7.79
"DGM","30",2020-07-24,"Propios",124,"2","5","0","0","0","0","3","0","0","0","0","0",0,"30",0,4.03
"DGM","30",2020-07-24,"Contratistas",903,"12","85","1","2","1","3","45","4","83","0","0","0",3,"30",33.22,9.41
"DGM","30",2020-07-25,"Propios",119,"2","5","0","0","0","0","0","0","0","0","0","0",0,"30",0,4.2
"DGM","30",2020-07-25,"Contratistas",909,"11","82","0","0","2","0","52","6","75","0","0","0",0,"30",0,9.02
"DGM","30",2020-07-26,"Propios",123,"2","5","0","0","0","0","1","0","0","0","0","0",0,"31",0,4.07
"DGM","30",2020-07-26,"Contratistas",899,"9","82","0","0","1","0","48","4","59","0","0","0",0,"31",0,9.12
"DMH","30",2020-07-20,"Propios",668,"2","18","0","0","0","0","37","5","55","0","0","0",0,"30",0,2.69
"DMH","30",2020-07-20,"Contratistas",2520,"24","102","2","0","0","0","10","4","86","0","0","0",2,"30",7.94,4.05
"DMH","30",2020-07-21,"Propios",668,"2","18","1","0","0","0","1","1","4","0","0","0",1,"30",14.97,2.69
"DMH","30",2020-07-21,"Contratistas",2520,"23","99","1","0","0","0","17","15","94","94","0","0",1,"30",3.97,3.93
"DMH","30",2020-07-22,"Propios",668,"2","18","0","0","0","0","0","0","4","0","0","0",0,"30",0,2.69
"DMH","30",2020-07-22,"Contratistas",2520,"22","101","2","0","1","0","15","11","31","1","0","0",2,"30",7.94,4.01
"DMH","30",2020-07-23,"Propios",668,"2","12","0","0","0","0","10","0","0","0","0","0",0,"30",0,1.8
"DMH","30",2020-07-23,"Contratistas",2520,"22","85","2","0","1","0","12","6","45","1","0","0",2,"30",7.94,3.37
"DMH","30",2020-07-24,"Propios",668,"2","12","0","0","1","0","64","11","12","0","0","0",0,"30",0,1.8
"DMH","30",2020-07-24,"Contratistas",2520,"20","84","1","0","9","1","24","14","240","9","1","0",1,"30",3.97,3.33
"DMH","30",2020-07-25,"Propios",668,"2","8","0","0","0","0","34","4","70","0","0","0",0,"30",0,1.2
"DMH","30",2020-07-25,"Contratistas",2520,"17","83","0","0","4","1","12","10","159","4","1","0",0,"30",0,3.29
"DMH","30",2020-07-26,"Propios",668,"2","8","0","0","1","1","32","7","52","1","0","0",0,"31",0,1.2
"DMH","30",2020-07-26,"Contratistas",2520,"17","82","1","0","0","0","10","6","121","0","0","0",1,"31",3.97,3.25
"DRT","30",2020-07-20,"Propios",1218,"8","34","0","1","1","1","9","3","0","0","0","0",1,"30",8.21,2.79
"DRT","30",2020-07-20,"Contratistas",4710,"13","44","7","0","19","2","0","0","0","0","0","0",7,"30",14.86,0.93
"DRT","30",2020-07-21,"Propios",1218,"8","35","1","0","5","1","18","1","0","0","0","0",1,"30",8.21,2.87
"DRT","30",2020-07-21,"Contratistas",4710,"14","40","4","1","12","5","0","0","0","0","0","0",5,"30",10.62,0.85
"DRT","30",2020-07-22,"Propios",1218,"11","33","2","1","3","3","26","2","0","0","0","0",3,"30",24.63,2.71
"DRT","30",2020-07-22,"Contratistas",4710,"13","39","3","1","10","4","5","0","0","0","0","0",4,"30",8.49,0.83
"DRT","30",2020-07-23,"Propios",1218,"8","28","0","0","3","3","24","2","0","0","0","0",0,"30",0,2.3
"DRT","30",2020-07-23,"Contratistas",4710,"16","37","3","2","5","5","2","0","0","0","0","0",5,"30",10.62,0.79
"DRT","30",2020-07-24,"Propios",1218,"9","28","1","0","2","1","7","0","0","0","0","0",1,"30",8.21,2.3
"DRT","30",2020-07-24,"Contratistas",4710,"10","31","0","0","11","0","8","0","0","0","0","0",0,"30",0,0.66
"DRT","30",2020-07-25,"Propios",1218,"9","29","4","1","5","2","0","0","0","0","0","0",5,"30",41.05,2.38
"DRT","30",2020-07-25,"Contratistas",4710,"13","33","0","1","13","8","0","0","0","0","0","0",1,"30",2.12,0.7
"DRT","30",2020-07-26,"Propios",1218,"7","28","0","0","2","0","0","0","0","0","0","0",0,"31",0,2.3
"DRT","30",2020-07-26,"Contratistas",4710,"11","32","0","0","4","0","0","0","0","0","0","0",0,"31",0,0.68
"DVEN","30",2020-07-20,"Propios",852,"6","11","0","0","0","0","100","1","3","0","0","0",0,"30",0,1.29
"DVEN","30",2020-07-20,"Contratistas",1085,"3","13","0","0","0","0","40","0","3","0","0","0",0,"30",0,1.2
"DVEN","30",2020-07-21,"Propios",852,"6","12","1","0","1","1","60","0","13","1","1","2",1,"30",11.74,1.41
"DVEN","30",2020-07-21,"Contratistas",1085,"5","13","0","0","0","0","30","0","1","0","0","0",0,"30",0,1.2
"DVEN","30",2020-07-22,"Propios",852,"6","12","0","0","0","0","33","0","6","0","0","0",0,"30",0,1.41
"DVEN","30",2020-07-22,"Contratistas",1085,"5","13","0","0","0","0","120","0","1","0","0","0",0,"30",0,1.2
"DVEN","30",2020-07-23,"Propios",852,"4","12","0","0","0","0","75","0","0","0","0","0",0,"30",0,1.41
